"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","poss.number","def.number"
1044,"69","M","FCKC","Buczkowski","passes.f.c","AR","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,"69","D","FCKC","Taylor","passes.f","AR",NA,NA,"D","PTFC","Menges","clearances","D18",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1045,"69",NA,NA,NA,NA,NA,NA,NA,"F","PTFC","Heath","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA
1046,"70","D","FCKC","Taylor","passes.f.c","AMR","AR","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,"70","F","FCKC","McCarty","lost.touch","AR",NA,NA,"D","PTFC","Klingenberg","pressured","DL",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
1048,"70","D","PTFC","Klingenberg","passes.s.c","DL","DC","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,"70","M","PTFC","Long","dispossessed","DC",NA,NA,"F","FCKC","McCarty","tackles.ball","AC",NA,NA,NA,NA,NA,NA,NA,NA
1050,"70","F","FCKC","McCarty","passes.b.c","AC","AR",NA,"M","PTFC","Horan","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA
1050,"70",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Long","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA
1051,"70","M","FCKC","Buczkowski","passes.s.c","AR","AR",NA,"M","PTFC","Long","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA
1052,"70","D","FCKC","Taylor","passes.f.c","AR","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053,"70","M","FCKC","O'Reilly","take.on.lost","AR",NA,NA,"M","PTFC","Long","tackles.ball","DL",NA,NA,NA,NA,NA,NA,NA,NA
1053,"70",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Klingenberg","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA
1054,"70","M","PTFC","Long","passes.b.c","DL","DL",NA,"M","FCKC","O'Reilly","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA
1055,"70","D","PTFC","Klingenberg","take.on.won","DL",NA,NA,"M","FCKC","O'Reilly","dribbled.turned","AR",NA,NA,NA,NA,NA,NA,NA,NA
1056,"70","D","PTFC","Klingenberg","passes.f.c","DL","DL",NA,"M","FCKC","O'Reilly","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA
1057,"70","M","PTFC","Long","passes.f.c","DL","DL",NA,"M","FCKC","Buczkowski","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA
1058,"70","M","PTFC","Brynjarsdottir","dispossessed","DL",NA,NA,"D","FCKC","Taylor","challenged","AR",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1059,"70","D","PTFC","Klingenberg","passes.f.c","DL","DML","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1060,"70","M","PTFC","Brynjarsdottir","passes.f","DML",NA,"headed","M","FCKC","Scott","interceptions","AMR",NA,NA,NA,NA,NA,NA,NA,NA
1060,"70",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,"70","M","FCKC","Scott","lost.touch","AMR",NA,NA,"F","PTFC","Nadim","dispossessed","DML",NA,NA,NA,NA,NA,NA,NA,NA
1062,"70","F","PTFC","Nadim","passes.f.c","DML","AMC",NA,"M","FCKC","Scott","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA
1063,"70","F","PTFC","Heath","take.on.won","AMC",NA,NA,"M","FCKC","Scott","dribbled.turned","DMC",NA,NA,NA,NA,NA,NA,NA,NA
1064,"70","F","PTFC","Heath","passes.f.c","AMC","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,"70","F","PTFC","Nadim","passes.f.c","AML","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,"70","M","PTFC","Brynjarsdottir","passes.f.c","AML","A18","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,"71","M","PTFC","Horan","passes.s","A18",NA,"corner.crosses","D","FCKC","Averbuch","blocks","D18",NA,NA,NA,NA,NA,NA,NA,NA
1068,"71","M","PTFC","Brynjarsdottir","recoveries","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,"71","M","PTFC","Brynjarsdottir","passes.b.c","AC","AC",NA,"D","FCKC","Sauerbrunn","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA
1070,"71","M","PTFC","Long","passes.b.c","AC","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,"71","D","PTFC","Sonnett","passes.f.c","AC","AL","switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072,"71","D","PTFC","Klingenberg","take.on.won","AL",NA,NA,"M","FCKC","O'Reilly","dribbled.out.run","DR",NA,NA,NA,NA,NA,NA,NA,NA
1073,"71","D","PTFC","Klingenberg","passes.f","AL",NA,"through","D","FCKC","Taylor","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA
1074,"71","D","FCKC","Averbuch","clearances","D18",NA,NA,"M","PTFC","Brynjarsdottir","blocks","A18",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1075,"72","D","FCKC","Taylor","passes.f","DR",NA,"throw.in","M","PTFC","Brynjarsdottir","blocks","AL",NA,NA,NA,NA,NA,NA,NA,NA
1076,"72","F","PTFC","Nadim","recoveries","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,"72","F","PTFC","Nadim","passes.b.c","AL","AL",NA,"D","FCKC","Averbuch","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA
1078,"72","F","PTFC","Heath","passes.b.c","AL","AL",NA,"M","FCKC","O'Reilly","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA
1079,"72","M","PTFC","Brynjarsdottir","passes.f","AL",NA,NA,"M","FCKC","Scott","clearances","DR",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1080,"72","D","PTFC","Klingenberg","passes.b.c","AML","DML","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,"72","D","PTFC","Menges","passes.f.c","DML","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082,"72","D","PTFC","Klingenberg","passes.s.c","AML","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,"72","D","PTFC","Sonnett","passes.s.c","DMC","AR","switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1084,"72","D","PTFC","Reynolds","take.on.won","AR",NA,NA,"M","FCKC","Laddish","dribbled.turned","DL",NA,NA,NA,NA,NA,NA,NA,NA
1085,"72","D","PTFC","Reynolds","passes.s","AR",NA,NA,"M","FCKC","O'Reilly","interceptions","DMC",NA,NA,NA,NA,NA,NA,NA,NA
1086,"72","M","FCKC","O'Reilly","clearances","DMC",NA,NA,"M","PTFC","Long","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA
1087,"72","GK","PTFC","Betos","recoveries","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,"72","GK","PTFC","Betos","passes.f.c","DC","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,"72","D","PTFC","Menges","passes.f.c","DC","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090,"72","M","PTFC","Long","passes.f.c","DML","AML","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,"72","M","PTFC","Brynjarsdottir","passes.f","AML",NA,"headed","D","FCKC","Frisbie","blocks","DC",NA,NA,NA,NA,NA,NA,NA,NA
1091,"72",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1092,"72","M","PTFC","Raso","recoveries","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,"72","M","PTFC","Raso","take.on.lost","AC",NA,NA,"D","FCKC","Sauerbrunn","tackles.ball","DC",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1094,"72","D","PTFC","Reynolds","passes.f.c","AR","AR","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1095,"73","F","PTFC","Heath","take.on.won","AR",NA,NA,"M","FCKC","Laddish","challenged","DL",NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA
1096,"73","F","PTFC","Heath","passes.b.c","AR","AR","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,"73","D","PTFC","Reynolds","passes.f","AR",NA,"deep.crosses","GK","FCKC","Barnhart","gk.high.balls.won","D6","caught",NA,NA,NA,NA,NA,NA,NA
1098,"73","GK","FCKC","Barnhart","passes.f","D18",NA,"gk.drop.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,"73",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,"73","D","PTFC","Sonnett","recoveries","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,"73","D","PTFC","Sonnett","passes.f.c","DMC","DMC",NA,"F","FCKC","McCarty","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA
1101,"73","M","PTFC","Horan","passes.f.c","DMC","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,"74","F","PTFC","Nadim","lost.touch","AMC",NA,NA,"M","FCKC","Laddish","challenged","DMC",NA,NA,NA,NA,NA,NA,NA,NA
1103,"73","D","FCKC","Sauerbrunn","recoveries","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,"73","D","FCKC","Sauerbrunn","passes.f.c","DC","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1105,"73","M","FCKC","Laddish","passes.b.c","DMC","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,"73","D","FCKC","Frisbie","passes.f.c","DML","AL","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1107,"74","F","FCKC","McCarty","movement","AL","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108,"73","F","FCKC","McCarty","take.on.lost","A18",NA,NA,"D","PTFC","Sonnett","challenged","D18",NA,NA,NA,NA,NA,NA,NA,NA
1108,"73",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Menges","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA
1109,"73","D","FCKC","Averbuch","recoveries","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,"73","D","FCKC","Averbuch","passes.s.c","DMC","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,"74","D","FCKC","Taylor","passes.b.c","DMR","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112,"74","GK","FCKC","Barnhart","passes.f","DR",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,"74","D","PTFC","Sonnett","recoveries","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,"74","D","PTFC","Sonnett","passes.f.c","DMC","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,"74","M","PTFC","Horan","passes.f.c","DMC","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,"74","F","PTFC","Nadim","lost.touch","AL",NA,NA,"D","FCKC","Taylor","challenged","DR",NA,NA,NA,NA,NA,NA,NA,NA
1117,"74","GK","FCKC","Barnhart","clearances","D18",NA,NA,"F","PTFC","Nadim","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA
1118,"74","M","PTFC","Horan","recoveries","DML",NA,NA,"F","FCKC","McCarty","challenged","AMR",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1119,"74","D","PTFC","Klingenberg","passes.s.c","DML","AMC","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,"74",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1120,"74","F","PTFC","Nadim","passes.s.c","AMC","AML","lay.off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,"74","F","PTFC","Heath","take.on.won","AML",NA,NA,"M","FCKC","O'Reilly","dribbled.turned","DMR",NA,NA,NA,NA,NA,NA,NA,NA
1122,"74","F","PTFC","Heath","passes.f.c","AML","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,"74","M","PTFC","Brynjarsdottir","take.on.lost","AL",NA,NA,"M","FCKC","O'Reilly","tackles.ball","DR",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
1124,"74","D","PTFC","Klingenberg","passes.f.c","AL","AL","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,"74","M","PTFC","Brynjarsdottir","passes.b.c","AL","AL","lay.off","D","FCKC","Averbuch","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA
1126,"74","F","PTFC","Heath","passes.b.c","AL","AC",NA,"M","FCKC","Scott","challenged","DR",NA,NA,NA,NA,NA,NA,NA,NA
1127,"74","M","PTFC","Long","take.on.won","AC",NA,NA,"M","FCKC","Laddish","dribbled.tackles.missed","DC",NA,NA,NA,NA,NA,NA,NA,NA
1128,"74","M","PTFC","Long","take.on.lost","AC",NA,NA,"M","FCKC","Scott","tackles.ball","DC",NA,NA,NA,NA,NA,NA,NA,NA
