"event","time","poss.position","poss.team","poss.number","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.number","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG"
136,"10","D","WAS",NA,"Oyster","passes.b.c","D3R","D3C",NA,"F","WNYF",NA,"Doniak","pressured","A3L",NA,NA,NA,NA,NA,NA,NA
137,"10","GK","WAS",NA,"Labbe","passes.f.c","D3C","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"10","D","WAS",NA,"Zadorsky","passes.b.c","D3L","D18",NA,"F","WNYF",9,"L. Williams","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
139,"10","GK","WAS",NA,"Labbe","passes.f.c","D18","D3C",NA,"F","WNYF",NA,"Doniak","pressured","A18",NA,NA,NA,NA,NA,NA,NA
140,"10","M","WAS",NA,"Huster","passes.f.c","D3C","D3R",NA,"M","WNYF",NA,"Ayinde","pressured","A3C",NA,NA,NA,NA,NA,NA,NA
141,"10","D","WAS",NA,"Krieger","passes.f.c","D3R","A3C","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"10",NA,NA,NA,NA,NA,NA,NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"10","M","WAS",NA,"Matheson","lost.touch","A3C",NA,NA,"D","WNYF",NA,"Eddy","pressured","D3C",NA,NA,NA,NA,NA,NA,NA
143,"10","D","WNYF",NA,"Eddy","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"10","D","WNYF",NA,"Eddy","passes.b.c","D3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"10","GK","WNYF",NA,"D'Angelo","passes.f","D18",NA,"launch","M","WAS",NA,"Nairn","interceptions","AM3L",NA,NA,NA,NA,NA,NA,NA
146,"10","M","WAS",NA,"Nairn","passes.f","AM3L",NA,"headed","D","WNYF",NA,"Eddy","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA
147,"10","D","WNYF",NA,"Eddy","passes.f","D3R",NA,"headed","M","WAS",NA,"Lohman","interceptions","AM3L",NA,NA,NA,NA,NA,NA,NA
