uniq_poss_discp_id,uniq_event_id,match_id,event,possdiscp_id,poss_player_disciplinary
1000520,1036526,100148,22,1001,fouls.conceded
1000521,1036548,100148,44,1002,fouls.won
1000522,1036711,100148,207,1003,fouls.won
1000523,1036828,100148,324,1004,yellow.cards
1000524,1036999,100148,495,1005,fouls.conceded
1000525,1037519,100148,1015,1006,fouls.won
1000526,1037679,100148,1175,1007,yellow.cards
1000527,1037924,100006,11,1001,fouls.won
1000528,1037927,100006,14,1002,fouls.won
1000529,1038044,100006,131,1003,fouls.won
1000530,1038228,100006,315,1004,fouls.conceded
1000531,1038552,100006,639,1005,fouls.won
1000532,1038589,100006,676,1006,fouls.conceded
1000533,1038623,100006,710,1007,fouls.won
1000534,1038853,100006,940,1008,yellow.cards
1000535,1038909,100006,996,1009,fouls.won
1000536,1038946,100006,1033,1010,fouls.won
1000537,1038982,100006,1069,1011,fouls.won
1000538,1039038,100006,1125,1012,fouls.conceded
1000539,1039115,100006,1202,1013,fouls.conceded
1000540,1039363,100003,128,1001,fouls.won
1000541,1039378,100003,143,1002,fouls.won
1000542,1039399,100003,164,1003,fouls.won
1000543,1039561,100003,326,1004,fouls.won
1000544,1039579,100003,344,1005,fouls.won
1000545,1039728,100003,493,1006,fouls.won
1000546,1039757,100003,522,1007,fouls.won
1000547,1039804,100003,569,1008,fouls.won
1000548,1040034,100003,799,1009,fouls.conceded
1000549,1040379,100003,1144,1010,fouls.won
1000550,1040517,100003,1282,1011,fouls.conceded
1000551,1040762,100005,51,1001,fouls.conceded
1000552,1040823,100005,112,1002,fouls.conceded
1000553,1040830,100005,119,1003,fouls.won
1000554,1040892,100005,181,1004,fouls.conceded
1000555,1040913,100005,202,1005,fouls.won
1000556,1040931,100005,220,1006,fouls.won
1000557,1040949,100005,238,1007,fouls.won
1000558,1041024,100005,313,1008,fouls.won
1000559,1041124,100005,413,1009,fouls.won
1000560,1041174,100005,463,1010,fouls.won
1000561,1041388,100005,677,1011,fouls.conceded
1000562,1041462,100005,751,1012,fouls.conceded
1000563,1041544,100005,833,1013,fouls.won
1000564,1041557,100005,846,1014,fouls.conceded
1000565,1041637,100005,926,1015,fouls.conceded
1000566,1041647,100005,936,1016,fouls.won
1000567,1041661,100005,950,1017,fouls.won
1000568,1041803,100005,1092,1018,fouls.won
1000569,1041821,100005,1110,1019,fouls.won
1000570,1041920,100005,1209,1020,fouls.conceded
1000571,1041949,100005,1238,1021,fouls.won
1000572,1042023,100005,1312,1022,fouls.won
1000573,1042023,100005,1312,1023,yellow.cards
1000574,1042032,100005,1321,1024,fouls.won
1000575,1042222,100004,188,1001,fouls.conceded
1000576,1042257,100004,223,1002,fouls.conceded
1000577,1042415,100004,381,1003,fouls.won
1000578,1042425,100004,391,1004,fouls.won
1000579,1042467,100004,433,1005,fouls.won
1000580,1042610,100004,576,1006,fouls.won
1000581,1042679,100004,645,1007,fouls.won
1000582,1042737,100004,703,1008,fouls.won
1000583,1042873,100004,839,1009,fouls.won
1000584,1043056,100004,1022,1010,fouls.won
1000585,1043099,100004,1065,1011,fouls.won
1000586,1043164,100004,1130,1012,fouls.won
1000587,1043169,100004,1135,1013,fouls.won
1000588,1043231,100004,1197,1014,fouls.won
1000589,1043250,100004,1216,1015,fouls.won
1000590,1043309,100004,1275,1016,fouls.won
1000591,1043348,100004,1314,1017,fouls.won
1000592,1043410,100004,1376,1018,fouls.won
1000593,1043454,100004,1420,1019,fouls.won
1000594,1043474,100004,1440,1020,fouls.won
1000595,1043501,100004,1467,1021,fouls.conceded
1000596,1043592,100004,1558,1022,fouls.conceded
1000597,1043977,100008,365,1001,fouls.won
1000598,1044143,100008,531,1002,fouls.won
1000599,1044150,100008,538,1003,fouls.won
1000600,1044341,100008,729,1004,fouls.won
1000601,1044345,100008,733,1005,fouls.won
1000602,1044398,100008,786,1006,fouls.won
1000603,1044581,100008,969,1007,fouls.conceded
1000604,1044587,100008,975,1008,fouls.won
1000605,1044676,100008,1064,1009,fouls.conceded
1000606,1044679,100008,1067,1010,fouls.won
1000607,1044822,100008,1210,1011,fouls.won
