match_id,date,competition_slug,competition_string,matchup,notes,round,location_data
100024,8/12/16,2016-olympics,2016 Rio Olympics,USA-SWE,,,yes
100025,4/6/16,international-friendlies-2016,International Friendlies 2016,USA-COL,,,yes
100026,4/10/16,international-friendlies-2016,International Friendlies 2016,USA-COL,,,no
100027,6/2/16,international-friendlies-2016,International Friendlies 2016,USA-JPN,,,yes
100028,6/5/16,international-friendlies-2016,International Friendlies 2016,USA-JPN,,,yes
100029,7/9/16,international-friendlies-2016,International Friendlies 2016,USA-RSA,,,no
100030,7/22/16,international-friendlies-2016,International Friendlies 2016,USA-CRC,,,no
100031,9/15/16,international-friendlies-2016,International Friendlies 2016,USA-THA,,,no
100032,10/19/16,international-friendlies-2016,International Friendlies 2016,USA-SUI,,,no
100033,10/23/16,international-friendlies-2016,International Friendlies 2016,USA-SUI,,,no
100034,4/16/16,nwsl-2016,NWSL 2016,WAS-BOS,,week-1,yes
100035,4/16/16,nwsl-2016,NWSL 2016,HOU-CRS,,week-1,yes
100036,4/16/16,nwsl-2016,NWSL 2016,FCKC-WNYF,,week-1,yes
100037,4/17/16,nwsl-2016,NWSL 2016,PTFC-ORL,,week-1,yes
100038,4/17/16,nwsl-2016,NWSL 2016,SRFC-SBFC,,week-1,yes
100039,4/23/16,nwsl-2016,NWSL 2016,CRS-WNYF,,week-2,yes
100040,4/23/16,nwsl-2016,NWSL 2016,FCKC-PTFC,,week-2,yes
100041,4/23/16,nwsl-2016,NWSL 2016,ORL-HOU,,week-2,yes
100042,4/24/16,nwsl-2016,NWSL 2016,SBFC-WAS,,week-2,yes
100043,4/24/16,nwsl-2016,NWSL 2016,BOS-SRFC,,week-2,yes
100044,4/29/16,nwsl-2016,NWSL 2016,HOU-SBFC,,week-3,yes
100045,4/29/16,nwsl-2016,NWSL 2016,WNYF-WAS,,week-3,yes
100046,5/1/16,nwsl-2016,NWSL 2016,BOS-PTFC,,week-3,yes
100047,5/1/16,nwsl-2016,NWSL 2016,CRS-ORL,,week-3,yes
100048,5/1/16,nwsl-2016,NWSL 2016,SRFC-FCKC,,week-3,yes
100049,5/7/16,nwsl-2016,NWSL 2016,BOS-CRS,,week-4,yes
100050,5/7/16,nwsl-2016,NWSL 2016,WAS-PTFC,,week-4,yes
100051,5/7/16,nwsl-2016,NWSL 2016,SBFC-WNYF,,week-4,yes
100052,5/7/16,nwsl-2016,NWSL 2016,FCKC-HOU,,week-4,yes
100053,5/8/16,nwsl-2016,NWSL 2016,ORL-SRFC,,week-4,yes
100054,5/13/16,nwsl-2016,NWSL 2016,SBFC-BOS,,week-5,yes
100055,5/13/16,nwsl-2016,NWSL 2016,FCKC-CRS,,week-5,yes
100056,5/14/16,nwsl-2016,NWSL 2016,SRFC-PTFC,,week-5,yes
100057,5/14/16,nwsl-2016,NWSL 2016,WAS-HOU,,week-5,yes
100058,5/14/16,nwsl-2016,NWSL 2016,ORL-WNYF,,week-5,yes
100059,5/20/16,nwsl-2016,NWSL 2016,HOU-ORL,,week-6,yes
100060,5/21/16,nwsl-2016,NWSL 2016,WNYF-SBFC,,week-6,yes
100061,5/21/16,nwsl-2016,NWSL 2016,PTFC-WAS,,week-6,yes
