"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
795,"55",NA,NA,NA,NA,NA,NA,NA,NA,"COL","Asprilla","clearances","D18",NA,NA,NA,NA,NA,NA
796,"55",NA,"USA","Mewis","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
797,"55",NA,"USA","Mewis","passes.f.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"56",NA,"USA","Long","passes.f.c","AM3C","A3L",NA,NA,"COL","Ospina","pressured","DM3C",NA,NA,NA,NA,NA,NA
799,"56",NA,"USA","Klingenberg","passes.f.c","A3L","A3L","flick.on",NA,"COL","Asprilla","pressured","D3R",NA,NA,NA,NA,NA,NA
800,"56",NA,"USA","Heath","passes.b.c","A3L","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,"56",NA,"USA","Mewis","passes.f.c","AM3C","A3C",NA,NA,"COL","Rincon","pressured","DM3C",NA,NA,NA,NA,NA,NA
802,"56",NA,"USA","Heath","dispossessed","A3C",NA,NA,NA,"COL","Usme","tackles.ball","D3C",NA,NA,NA,NA,NA,NA
803,"56",NA,"USA","Mewis","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,"56",NA,"USA","Mewis","passes.b.c","AM3C","AM3R",NA,NA,"COL","Usme","pressured","DM3C",NA,NA,NA,NA,NA,NA
805,"56",NA,"USA","Sauerbrunn","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,"56",NA,"USA","Press","passes.b.c","A3R","AM3R","lay.off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"56",NA,"USA","Sauerbrunn","passes.f.c","AM3R","A3R",NA,NA,"COL","Usme","pressured","DM3L",NA,NA,NA,NA,NA,NA
808,"56",NA,"USA","Press","passes.b.c","A3R","AM3R",NA,NA,"COL","Santos","pressured","D3L",NA,NA,NA,NA,NA,NA
809,"56",NA,"USA","Sauerbrunn","passes.b.c","AM3R","AM3R",NA,NA,"COL","Usme","pressured","DM3L",NA,NA,NA,NA,NA,NA
810,"56",NA,"USA","Mewis","passes.s.c","AM3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"56",NA,"USA","Johnston","passes.f.c","AM3C","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,"56",NA,"USA","Long","passes.f","A3C",NA,NA,NA,"COL","Salazar","pressured","D3C",NA,NA,NA,NA,NA,NA
812,"56",NA,NA,NA,NA,NA,NA,NA,NA,"COL","Asprilla","interceptions","D3C",NA,NA,NA,NA,NA,NA
813,"56",NA,"COL","Asprilla","passes.f","D3C",NA,"launch",NA,"USA","Johnston","interceptions","AM3L",NA,NA,NA,NA,NA,NA
814,"56",NA,"USA","Johnston","passes.f.c","AM3L","A3L",NA,NA,"COL","Ospina","pressured","DM3R",NA,NA,NA,NA,NA,NA
815,"56",NA,"USA","Lloyd","passes.f.c","A3L","A3C",NA,NA,"COL","Echeverri","pressured","D3R",NA,NA,NA,NA,NA,NA
816,"56",NA,"USA","Dunn","passes.f.c","A3C","A18","flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"56",NA,"USA","Heath","lost.touch","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
818,"57",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819,"57",NA,"COL","Salazar","passes.s.c","DM3R","DM3R",NA,NA,"USA","Long","pressured","AM3L",NA,NA,NA,NA,NA,NA
820,"57",NA,"COL","Ospina","passes.f.c","DM3R","DM3R",NA,NA,"USA","Long","pressured","AM3L",NA,NA,NA,NA,NA,NA
821,"57",NA,"COL","Rincon","passes.s.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,"57",NA,"COL","Usme","passes.f.c","DM3R","A3C","through",NA,"USA","Dunn","pressured","AM3L",NA,NA,NA,"key.passes",NA,NA
822,"57",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,"57",NA,"COL","Santos","shots.stopped.by.gk","A3C",NA,NA,NA,"USA","O'Hara","pressured","D3C","caught","stooping",NA,"big.chances.shot.on.goal",NA,NA
823,"57",NA,NA,NA,NA,NA,NA,NA,"GK","USA","Solo","gk.s.o.g.stop","D18",NA,NA,NA,NA,NA,"big.chances.stopped"
824,"57","GK","USA","Solo","passes.f.c","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,"57",NA,"USA","Johnston","passes.s.c","D3C","D3R",NA,NA,"COL","Rincon","pressured","A3C",NA,NA,NA,NA,NA,NA
826,"57",NA,"USA","Sauerbrunn","passes.f.c","D3R","DM3R",NA,NA,"COL","Usme","pressured","A3L",NA,NA,NA,NA,NA,NA
827,"57",NA,"USA","Klingenberg","passes.f","DM3R",NA,NA,NA,"COL","Santos","pressured","AM3L",NA,NA,NA,NA,NA,NA
827,"57",NA,NA,NA,NA,NA,NA,NA,NA,"COL","Velasquez","interceptions","AM3L",NA,NA,NA,NA,NA,NA
828,"57",NA,"COL","Velasquez","movement","AM3L","A3L",NA,NA,"USA","Lloyd","challenged","DM3R",NA,NA,NA,NA,NA,NA
829,"57",NA,"COL","Velasquez","dispossessed",NA,"A3L",NA,NA,"USA","Lloyd","tackles.ball",NA,NA,NA,NA,NA,NA,NA
829,"57",NA,NA,NA,NA,NA,NA,NA,NA,"USA","O'Hara","clearances","D3R",NA,NA,NA,NA,NA,NA
830,"57",NA,"COL","Usme","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,"57",NA,"COL","Usme","passes.b.c","A3L","A3L",NA,NA,"USA","Mewis","pressured","D3R",NA,NA,NA,NA,NA,NA
832,"57",NA,"COL","Rincon","passes.s.c","A3L","A3C",NA,NA,"USA","Long","pressured","D3R",NA,NA,NA,NA,NA,NA
833,"57",NA,"COL","Ospina","shots.missed","A3C",NA,NA,NA,"USA","Long","pressured","D3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
834,"57",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,"GK","USA","Solo","gk.shot.miss",NA,NA,NA,NA,NA,NA,NA
835,"58","GK","USA","Solo","passes.f.c","D6","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
836,"58",NA,"USA","Johnston","passes.b.c","D18","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
837,"58","GK","USA","Solo","passes.f.c","D6","D3R",NA,NA,"COL","Ospina","pressured","A6",NA,NA,NA,NA,NA,NA
838,"58",NA,"USA","Sauerbrunn","dispossessed","D3R",NA,NA,NA,"COL","Usme","tackles.ball","A3L",NA,NA,NA,NA,NA,NA
839,"58",NA,"USA","Sauerbrunn","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
